"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",9.7098854051897e-250,4.54598096525808,1,0.01,1.47444609877806e-245,"0","Ctss"
"2",8.97947713561306e-249,4.57735457744668,0.995,0.007,1.36353360304284e-244,"0","C1qa"
"3",8.88958709704708e-248,4.2716710917135,1,0.016,1.3498838006866e-243,"0","P2ry12"
"4",2.28479425624225e-245,4.1741688743292,0.99,0.012,3.46946007810386e-241,"0","C1qb"
"5",6.47992923894252e-245,3.96439249928237,0.987,0.011,9.83977254933422e-241,"0","C1qc"
"6",8.91802806506932e-245,3.48859393820567,0.979,0.004,1.35420256168078e-240,"0","Selplg"
"7",8.2873857634997e-237,3.5299974845902,0.959,0.006,1.25843952818743e-232,"0","Tyrobp"
"8",5.41786150582329e-236,3.3933726207766,0.956,0.006,8.22702269659266e-232,"0","Fcer1g"
"9",1.07233282411364e-235,3.44262090518608,0.953,0.005,1.62833739341656e-231,"0","Tmem119"
"10",3.69964434679135e-232,4.631568070545,1,0.07,5.61790994060266e-228,"0","Hexb"
"11",5.95688121383099e-246,3.5539122639315,1,0.021,9.04552412320235e-242,"1","Mog"
"12",5.74979495508834e-241,3.13330423087951,1,0.027,8.73106363930164e-237,"1","Apod"
"13",7.26743415907011e-237,3.98113401304723,1,0.035,1.1035598770548e-232,"1","Cldn11"
"14",1.16514296800314e-221,2.74644064394254,0.996,0.053,1.76926959691278e-217,"1","Mag"
"15",8.6724552164903e-217,2.67759410526967,0.996,0.057,1.31691232462405e-212,"1","Ugt8a"
"16",9.97951231491449e-201,2.76861277304667,0.996,0.105,1.51538894501977e-196,"1","Tubb4a"
"17",2.35983869347028e-197,3.55471181359886,0.996,0.119,3.58341505603461e-193,"1","Mobp"
"18",1.03711370549022e-183,3.15631359583476,1,0.168,1.5748571617869e-179,"1","Cnp"
"19",4.48828847962151e-174,2.81419687660108,1,0.21,6.81546605630527e-170,"1","Aplp1"
"20",3.30523305404211e-152,5.37856865990857,1,0.362,5.01899639256294e-148,"1","Plp1"
"21",8.99595695042931e-244,4.08923410858326,0.995,0.019,1.36603606292269e-239,"2","Slc6a11"
"22",1.54868783769661e-237,3.22915903434879,0.954,0.011,2.35168248154229e-233,"2","Gm3764"
"23",2.60222428081503e-237,3.00260174011587,0.968,0.016,3.95147757041762e-233,"2","Bcan"
"24",1.50633332149046e-233,3.23741448544958,0.931,0.007,2.28736714868326e-229,"2","Igfbp2"
"25",1.01543710977057e-224,2.97252725905281,0.935,0.019,1.54194125118662e-220,"2","Ntsr2"
"26",1.81903823140045e-219,3.68145559383532,0.995,0.052,2.76220955438159e-215,"2","Fabp7"
"27",4.4199119919105e-199,3.02315088790662,0.954,0.064,6.71163635971609e-195,"2","Slc6a1"
"28",2.41905404722466e-183,3.10552779339054,0.982,0.114,3.67333357071064e-179,"2","Slc1a3"
"29",1.44146378207659e-182,3.21923773852945,0.963,0.102,2.1888627530833e-178,"2","Aldoc"
"30",4.89983936055665e-168,3.14007480660668,0.982,0.159,7.44040606900527e-164,"2","Mt3"
"31",2.47946910133141e-199,2.55356645836193,0.967,0.03,3.76507383037174e-195,"3","Acta2"
"32",2.77725706616408e-195,3.17394050932015,0.824,0.013,4.21726485497015e-191,"3","Higd1b"
"33",1.69901168073607e-194,3.79277190494584,0.896,0.034,2.57994923719772e-190,"3","Rgs5"
"34",3.2094246198608e-190,2.86970458963506,0.83,0.017,4.87351128525863e-186,"3","Ndufa4l2"
"35",1.39716727586974e-184,2.76209275191269,0.962,0.055,2.1215985084082e-180,"3","Igfbp7"
"36",4.51637396770621e-179,2.88708516264534,0.973,0.069,6.85811386996188e-175,"3","Myl9"
"37",1.10409814618728e-175,2.6954750948689,0.896,0.041,1.67657303498539e-171,"3","Tagln"
"38",3.1323521248568e-166,2.86840034992514,0.995,0.103,4.75647670159505e-162,"3","Crip1"
"39",3.55115813516426e-153,2.54341052923404,0.764,0.029,5.39243362824694e-149,"3","Mgp"
"40",1.2639450427678e-143,2.43094508043009,0.857,0.08,1.9193005474429e-139,"3","Cald1"
"41",2.32298728838892e-137,2.98816072153425,0.894,0.027,3.52745619741857e-133,"4","Rab3c"
"42",3.16030459393128e-131,3.07454881068947,0.851,0.025,4.79892252588465e-127,"4","Calb2"
"43",6.82970291972455e-126,2.66346284846053,0.83,0.026,1.03709038836017e-121,"4","Nptxr"
"44",1.50411832170416e-125,2.45574580153469,0.894,0.033,2.28400367150776e-121,"4","Pgm2l1"
"45",3.42011292724156e-105,2.53620487322431,1,0.064,5.1934414800163e-101,"4","Nsg2"
"46",1.42702978944936e-103,2.39269004546218,1,0.068,2.16694473527886e-99,"4","Syp"
"47",4.42655922823635e-100,2.32964119885884,0.979,0.066,6.7217301880769e-96,"4","Ntng1"
"48",5.81371234691793e-87,2.59791554419312,0.979,0.085,8.82812219879487e-83,"4","Ndrg4"
"49",1.91242543096122e-80,2.48348845322257,0.936,0.084,2.90401801691461e-76,"4","Syn2"
"50",5.2094316067452e-43,2.2271258046739,1,0.251,7.91052189484259e-39,"4","Meg3"
"51",2.15461006199594e-254,6.0801630613414,1,0.002,3.27177537914083e-250,"5","Mpz"
"52",2.15461006199594e-254,3.09613747844984,1,0.002,3.27177537914083e-250,"5","Prx"
"53",4.3279593129015e-238,2.57909463297848,0.977,0.003,6.57200621664093e-234,"5","Sema3b"
"54",2.23463788911176e-218,3.45007527799547,1,0.009,3.39329763461621e-214,"5","Ncmap"
"55",4.69184217803389e-156,2.59063424584723,1,0.028,7.12456234734447e-152,"5","Fam178b"
"56",2.67658867498871e-112,3.28350350830207,0.523,0.004,4.06439990297036e-108,"5","Spp1"
"57",8.46385531723768e-69,2.41733918033812,1,0.11,1.28523642992254e-64,"5","Fos"
"58",6.61312043385549e-37,4.99355445328413,1,0.382,1.00420233788096e-32,"5","Pmp22"
"59",8.85592618029336e-33,2.50532477424929,1,0.451,1.34477239047755e-28,"5","Mbp"
"60",3.79077975149076e-32,2.69030457797923,1,0.514,5.75629905263871e-28,"5","Cd9"
"61",5.00013573237203e-91,2.62274198951028,0.903,0.038,7.59270610960693e-87,"6","Eln"
"62",1.26621077021078e-64,2.31457794031759,0.871,0.058,1.92274105456508e-60,"6","Crispld2"
"63",7.31665644759272e-60,2.81204186316861,0.968,0.089,1.11103428156695e-55,"6","Tinagl1"
"64",2.28733186831881e-49,2.67089766542011,1,0.127,3.47331344204211e-45,"6","Tpm2"
"65",4.91219393645767e-44,2.55021309785622,0.935,0.122,7.45916649251098e-40,"6","Fos"
"66",1.19836299246559e-43,2.61783047748739,1,0.149,1.81971420405901e-39,"6","Acta2"
"67",2.24604783759023e-40,2.30132564775855,0.839,0.102,3.41062364138077e-36,"6","Ppp1r15a"
"68",2.869537299045e-31,2.19180471439779,1,0.217,4.35739238859984e-27,"6","Crip1"
"69",1.29409961248768e-20,2.39898243114995,0.613,0.106,1.96509026156254e-16,"6","Btg2"
"70",7.44629954037594e-20,2.22695294673832,0.935,0.357,1.13072058520609e-15,"6","Csrp1"
"71",2.27906655257457e-85,2.23665257736198,0.935,0.047,3.46076256008449e-81,"7","Ly6h"
"72",5.83158267754707e-65,2.31340093121181,0.968,0.08,8.85525829585523e-61,"7","Chd3os"
"73",3.81875151640691e-59,2.25905588832265,1,0.099,5.7987741776639e-55,"7","Sncb"
"74",1.28864114074226e-57,2.40804169306152,1,0.103,1.95680157221713e-53,"7","Tcf7l2"
"75",2.09608907940694e-51,2.87122601702717,1,0.127,3.18291126707943e-47,"7","Snhg11"
"76",6.43670956269298e-44,2.24956001069857,1,0.155,9.77414347094928e-40,"7","Ahi1"
"77",4.55723601903169e-34,2.78585852757506,0.968,0.191,6.92016289489962e-30,"7","Pcp4"
"78",6.34022928533927e-33,3.13771849383847,1,0.261,9.62763816978768e-29,"7","Meg3"
"79",3.2395898048697e-32,2.45154752887627,1,0.255,4.91931711869464e-28,"7","Nap1l5"
"80",4.83401869132426e-28,2.29122200772455,0.968,0.266,7.34045738277589e-24,"7","6330403K07Rik"
"81",3.98081594880191e-252,3.31436373978207,0.95,0,6.0448690182557e-248,"8","Slc6a2"
"82",3.98081594880191e-252,3.25859717776968,0.95,0,6.0448690182557e-248,"8","Dbh"
"83",4.73366229383829e-205,3.89449163549448,0.9,0.003,7.18806619319344e-201,"8","Gal"
"84",2.1952556323488e-150,5.06653014330983,1,0.013,3.33349567772165e-146,"8","Npy"
"85",6.79504721497545e-127,3.70476982976586,1,0.019,1.03182791959402e-122,"8","Prph"
"86",9.11775440913151e-114,3.16090998689239,1,0.023,1.38453100702662e-109,"8","Cyb561"
"87",7.23212764422009e-76,3.08221732681927,1,0.045,1.09819858277482e-71,"8","S100a10"
"88",2.43565837162937e-45,3.12412864824542,1,0.094,3.6985472373192e-41,"8","Stmn2"
"89",5.78552546193862e-39,3.59241300741194,1,0.117,8.78532041395379e-35,"8","Tubb3"
"90",4.72615519611268e-34,3.3807170067294,1,0.135,7.17666666529711e-30,"8","Sncg"
